Player,Dice_1,Dice_2,Total_roll
Madi,6,3,9
Theo,6,1,7
Madi,4,3,7
Theo,1,2,3
Madi,4,3,7
Theo,5,2,7
Madi,1,6,7
Theo,6,5,11
Madi,6,6,12
Theo,3,2,5
Madi,4,2,6
Theo,2,3,5
Madi,5,5,10
Theo,6,2,8
Madi,4,6,10
Theo,1,6,7
Madi,4,6,10
Theo,4,1,5
Madi,5,3,8
Theo,3,4,7
Madi,6,1,7
Theo,1,6,7
Madi,5,5,10
Theo,6,4,10
Madi,4,3,7
Theo,4,2,6
Madi,4,2,6
Theo,3,3,6
Madi,6,4,10
Theo,4,4,8
Madi,1,2,3
Theo,1,2,3
Madi,1,6,7
Theo,4,5,9
Madi,4,3,7
Theo,4,4,8
Madi,4,1,5
Theo,4,4,8
Madi,6,5,11
Theo,2,5,7
Madi,6,1,7
Theo,4,6,10
Madi,6,1,7
Theo,5,2,7
Madi,2,3,5
Theo,4,1,5
Madi,4,2,6
Theo,5,2,7
Madi,5,1,6
Theo,5,2,7
Madi,3,1,4
Theo,2,3,5
Madi,2,6,8
Theo,1,6,7
Madi,1,3,4
Theo,2,6,8
Madi,6,1,7
Theo,4,6,10
Madi,6,5,11
Theo,3,2,5
Madi,5,4,9
Theo,3,5,8
Madi,5,5,10
Theo,2,5,7
Madi,2,1,3
Theo,6,1,7
Madi,5,3,8
Theo,1,1,2
Madi,5,6,11
Theo,5,3,8
